\,2,3,4,5,6,7,8,9,10,A,
4,D,H,H,H,H,H,H,H,H,I,
5,D,D,H,H,H,H,H,H,H,I,
6,H,S,H,H,H,H,H,H,H,I,
7,H,S,H,H,H,H,H,H,H,I,
8,H,H,H,H,H,H,H,H,H,I,
9,H,D,D,D,D,H,H,H,H,I,
10,D,D,D,D,D,D,D,D,H,I,
11,D,D,D,D,D,D,D,D,D,I,
12,H,H,S,S,S,H,H,H,H,I,
13,S,S,S,H,D,H,H,H,H,I,
14,S,S,S,S,D,D,H,H,H,I,
15,S,S,S,S,S,S,S,Sr,Sr,I,
16,S,S,S,S,S,H,H,Sr,Sr,I,
17,S,S,S,H,S,D,S,Sr,S,I,
18,S,H,S,H,S,H,S,S,S,I,
19,S,H,S,S,S,S,S,S,S,S,
20,S,S,S,S,S,S,S,S,S,S,
21,S,S,S,S,S,S,S,S,S,I,
2-Feb,Sp,Sp,Sp,Sp,Sp,Sp,H,H,H,H,
3-Mar,Sp,Sp,Sp,Sp,Sp,Sp,H,H,H,I,
4-Apr,H,H,H,Sp,Sp,H,Sp,D,S,I,
5-May,D,D,D,Sp,Sp,D,D,D,S,I,
6-Jun,Sp,Sp,Sp,Sp,Sp,Sp,H,H,H,I,
7-Jul,Sp,Sp,Sp,Sp,Sp,Sp,H,H,H,I,
8-Aug,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,
9-Sep,Sp,Sp,Sp,Sp,Sp,S,Sp,Sp,S,S,
10-Oct,S,S,S,S,Sp,Sp,S,Sp,S,I,
A-A,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,I,
