\,2,3,4,5,6,7,8,9,10,A,
4,H,H,H,H,H,H,H,H,H,H,
5,H,H,S,H,H,H,H,H,H,H,
6,H,H,S,H,H,H,H,H,H,H,
7,H,H,H,S,H,H,H,H,H,H,
8,H,H,H,S,H,H,H,H,H,H,
9,H,D,D,H,D,H,H,H,H,H,
10,D,D,D,H,H,D,D,D,H,H,
11,D,D,D,H,H,D,D,D,D,H,
12,H,D,S,S,S,H,H,H,H,H,
13,S,S,H,S,S,H,H,H,H,H,
14,S,S,S,S,S,H,H,H,H,H,
15,S,S,D,S,S,H,H,H,Sr,H,
16,S,S,S,S,S,H,H,Sr,Sr,H,
17,S,S,S,S,S,S,H,S,S,I,
18,S,S,S,H,H,S,S,S,S,I,
19,S,S,S,S,S,S,S,S,S,I,
20,S,S,S,S,S,S,S,S,S,I,
21,S,S,S,S,S,S,S,S,S,I,
2-2,Sp,Sp,Sp,Sp,Sp,Sp,H,H,H,H,
3-3,Sp,Sp,Sp,Sp,Sp,Sp,H,H,H,H,
4-4,H,H,H,Sp,Sp,H,H,H,H,H,
5-5,D,D,D,D,D,D,D,D,H,H,
6-6,Sp,Sp,Sp,Sp,Sp,Sp,H,H,H,H,
7-7,Sp,Sp,Sp,Sp,Sp,Sp,H,H,H,H,
8-8,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,
9-9,Sp,Sp,Sp,Sp,Sp,S,Sp,Sp,S,I,
10-10,S,S,S,S,S,S,S,S,S,I,
A-A,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,Sp,
